Date,Description,Amount,Category
2026-05-01,Netflix,-15.49,
2026-05-02,Paycheck,2500.00,
2026-05-03,Starbucks,-5.75,
2026-05-05,Whole Foods,-82.10,
2026-05-10,Spotify,-9.99,
2026-05-15,Amazon,-42.99,
2026-06-01,Netflix,-15.49,
2026-06-02,Paycheck,2500.00,
2026-06-04,Starbucks,-6.25,
2026-06-08,Whole Foods,-91.30,
2026-06-10,Spotify,-9.99,
2026-06-20,Target,-28.50,
2026-07-01,Netflix,-15.49,
2026-07-02,Paycheck,2500.00,
2026-07-03,Starbucks,-5.75,
2026-07-05,Whole Foods,-88.20,
2026-07-08,Spotify,-9.99,
2026-07-12,Amazon,-19.99,
